latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
1.2302284,32.533543,1090.0,10800,Africa/Kampala,GMT+3

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),temperature_2m_mean (°C),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),relative_humidity_2m_max (%)
2015-01-01,30.6,19.4,0.00,25.1,12.5,893.1,73
2015-01-02,31.9,18.3,0.00,25.0,15.4,892.7,96
2015-01-03,32.4,17.5,0.00,25.0,10.1,893.1,78
2015-01-04,31.9,17.0,0.00,24.7,13.9,893.6,70
2015-01-05,31.2,18.7,0.00,25.3,16.6,893.4,78
2015-01-06,31.6,19.1,0.00,25.6,16.8,893.6,77
2015-01-07,31.2,18.3,0.00,25.5,15.7,894.5,69
2015-01-08,30.7,20.0,0.00,25.4,16.3,894.5,55
2015-01-09,30.4,20.2,0.00,25.3,17.1,894.8,50
2015-01-10,30.4,20.3,0.00,25.1,15.6,894.9,56
2015-01-11,29.9,19.9,0.00,24.5,20.7,894.7,50
2015-01-12,30.0,20.3,0.00,24.9,13.3,894.4,46
2015-01-13,30.4,19.8,0.00,25.2,14.6,894.4,50
2015-01-14,31.5,19.6,0.00,25.9,17.1,893.9,70
2015-01-15,32.4,19.5,0.00,26.5,15.0,893.6,66
2015-01-16,32.3,21.6,0.00,26.6,16.2,893.5,49
2015-01-17,32.7,20.3,0.00,26.4,17.4,893.0,55
2015-01-18,32.5,20.5,0.00,26.3,17.7,894.1,48
2015-01-19,32.0,19.0,0.00,25.8,13.1,893.8,62
2015-01-20,32.3,19.0,0.00,26.1,10.5,893.5,60
2015-01-21,31.2,19.4,0.00,25.9,12.6,894.7,62
2015-01-22,30.8,20.9,0.00,25.6,12.1,894.9,87
2015-01-23,30.6,19.6,0.00,25.2,13.0,893.3,87
2015-01-24,31.5,20.3,0.00,25.5,16.4,892.1,88
2015-01-25,31.5,20.2,0.00,25.5,11.9,893.0,91
2015-01-26,32.7,20.1,0.00,25.8,14.0,894.1,90
2015-01-27,32.4,18.3,0.00,25.7,10.8,893.1,93
2015-01-28,32.7,17.9,0.00,25.7,11.4,891.5,91
2015-01-29,33.3,19.0,0.00,26.0,9.7,891.7,98
2015-01-30,32.9,19.4,0.00,26.1,12.5,893.3,81
2015-01-31,33.0,20.7,0.00,26.7,13.3,894.2,86
2015-02-01,33.0,20.2,0.00,26.7,13.1,892.9,86
2015-02-02,33.8,20.3,0.00,27.3,12.4,891.9,89
2015-02-03,32.4,20.5,1.60,25.8,9.6,892.6,87
2015-02-04,33.1,21.1,0.00,26.9,15.5,892.7,87
2015-02-05,33.5,20.3,0.00,26.2,13.0,892.6,91
2015-02-06,34.3,20.3,0.00,27.2,10.9,892.7,92
2015-02-07,34.4,20.2,0.00,27.2,16.1,892.5,86
2015-02-08,34.2,20.7,0.00,26.8,15.2,891.9,83
2015-02-09,33.8,19.7,0.00,26.3,16.9,891.9,96
2015-02-10,33.7,20.5,0.00,26.7,14.4,892.5,91
2015-02-11,33.3,20.0,0.00,26.8,11.7,894.0,86
2015-02-12,33.4,21.1,0.00,27.4,13.0,893.5,80
2015-02-13,34.2,20.9,0.00,27.5,13.4,892.6,84
2015-02-14,33.2,21.7,0.00,27.9,14.6,892.6,72
2015-02-15,31.1,22.4,0.00,26.3,14.9,894.4,76
2015-02-16,32.5,20.0,0.00,26.2,12.1,894.4,89
2015-02-17,31.8,21.7,0.40,26.5,13.2,894.1,76
2015-02-18,32.3,21.4,2.30,25.7,12.3,893.2,78
2015-02-19,31.8,21.5,0.00,26.5,11.8,892.0,85
2015-02-20,32.7,22.0,0.10,27.0,12.7,891.3,76
